url,domain,consensus_label,category,severity,feature,observed_value,threshold,title,recommendation,explanation
https://essence-resilience.coach/,essence-resilience.coach,AVERAGE,technical_seo,LOW,title_length,78.0,<= 65,Raccourcir le title,Réduire le title pour conserver l'information essentielle dans un intitulé plus concis.,Le title contient environ 78 caractères et peut être trop long.
https://essence-resilience.coach/,essence-resilience.coach,AVERAGE,images,MEDIUM,alt_coverage_ratio,0.375,>= 0.70,Améliorer les attributs ALT,Ajouter des attributs ALT descriptifs aux images pertinentes et éviter les ALT vides lorsqu'ils ne sont pas justifiés.,La couverture ALT est d'environ 37.5%.
https://jespomi.com/,jespomi.com,GOOD,technical_seo,MEDIUM,title_length,17.0,>= 30,Enrichir le title,Rendre le title plus descriptif en intégrant l'intention ou le sujet principal de la page.,"Le title contient environ 17 caractères, ce qui est court pour décrire précisément la page."
https://jespomi.com/,jespomi.com,GOOD,technical_seo,MEDIUM,meta_description_length,13.0,>= 70,Enrichir la meta description,Développer la meta description pour mieux présenter le contenu et la proposition de valeur.,La meta description contient environ 13 caractères.
https://trafiq.fr/,trafiq.fr,POOR,technical_seo,LOW,title_length,70.0,<= 65,Raccourcir le title,Réduire le title pour conserver l'information essentielle dans un intitulé plus concis.,Le title contient environ 70 caractères et peut être trop long.
https://trafiq.fr/,trafiq.fr,POOR,technical_seo,HIGH,meta_description_exists,False,True,Ajouter une meta description,Ajouter une meta description unique résumant le contenu et la valeur de la page.,Aucune meta description n'a été détectée.
https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,POOR,technical_seo,MEDIUM,title_length,29.0,>= 30,Enrichir le title,Rendre le title plus descriptif en intégrant l'intention ou le sujet principal de la page.,"Le title contient environ 29 caractères, ce qui est court pour décrire précisément la page."
https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,POOR,technical_seo,HIGH,meta_description_exists,False,True,Ajouter une meta description,Ajouter une meta description unique résumant le contenu et la valeur de la page.,Aucune meta description n'a été détectée.
https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,POOR,content,LOW,h1_count,2.0,= 1,Rationaliser les H1,Vérifier la hiérarchie éditoriale et conserver un H1 principal clairement identifiable.,2 balises H1 ont été détectées.
https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,POOR,images,MEDIUM,alt_coverage_ratio,0.04,>= 0.70,Améliorer les attributs ALT,Ajouter des attributs ALT descriptifs aux images pertinentes et éviter les ALT vides lorsqu'ils ne sont pas justifiés.,La couverture ALT est d'environ 4.0%.
https://nkongsambapeguanto.ltd/,nkongsambapeguanto.ltd,POOR,internal_linking,MEDIUM,internal_link_ratio,0.636,>= 0.70,Renforcer le maillage interne,Ajouter des liens internes contextuels entre les pages importantes et les contenus complémentaires.,Le ratio de liens internes est d'environ 63.6%.
https://cabinet-3c.com/,cabinet-3c.com,AVERAGE,technical_seo,LOW,title_length,79.0,<= 65,Raccourcir le title,Réduire le title pour conserver l'information essentielle dans un intitulé plus concis.,Le title contient environ 79 caractères et peut être trop long.
https://cabinet-3c.com/,cabinet-3c.com,AVERAGE,authority,LOW,external_unique_domain_count,0.0,>= 3,Développer l'écosystème externe,Évaluer les opportunités de visibilité externe et de liens provenant de domaines pertinents et crédibles.,Seulement 0 domaine(s) externe(s) unique(s) ont été détectés dans les liens de la page.
https://if-ca.fr/,if-ca.fr,AVERAGE,technical_seo,MEDIUM,title_length,14.0,>= 30,Enrichir le title,Rendre le title plus descriptif en intégrant l'intention ou le sujet principal de la page.,"Le title contient environ 14 caractères, ce qui est court pour décrire précisément la page."
https://if-ca.fr/,if-ca.fr,AVERAGE,images,MEDIUM,alt_coverage_ratio,0.2,>= 0.70,Améliorer les attributs ALT,Ajouter des attributs ALT descriptifs aux images pertinentes et éviter les ALT vides lorsqu'ils ne sont pas justifiés.,La couverture ALT est d'environ 20.0%.
https://ada13.org/,ada13.org,AVERAGE,technical_seo,HIGH,meta_description_exists,False,True,Ajouter une meta description,Ajouter une meta description unique résumant le contenu et la valeur de la page.,Aucune meta description n'a été détectée.
https://ada13.org/,ada13.org,AVERAGE,content,MEDIUM,word_count,268.0,>= 500,Enrichir le contenu,"Enrichir les pages stratégiques avec du contenu utile, spécifique à l'intention de recherche et non redondant.","La page contient environ 268 mots. Le volume seul ne détermine pas la qualité SEO, mais un contenu très court peut limiter la capacité à couvrir le sujet."
https://ada13.org/,ada13.org,AVERAGE,authority,LOW,external_unique_domain_count,2.0,>= 3,Développer l'écosystème externe,Évaluer les opportunités de visibilité externe et de liens provenant de domaines pertinents et crédibles.,Seulement 2 domaine(s) externe(s) unique(s) ont été détectés dans les liens de la page.
https://ada13.org/,ada13.org,AVERAGE,conversion,LOW,"phone_count,email_count","{'phone_count': 0.0, 'email_count': 0.0}",phone >= 1 OR email >= 1,Faciliter le contact,Rendre au moins un moyen de contact identifiable sur les pages où cela est pertinent.,Aucun numéro de téléphone ni adresse email détectable n'a été trouvé.
https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,POOR,technical_seo,LOW,title_length,91.0,<= 65,Raccourcir le title,Réduire le title pour conserver l'information essentielle dans un intitulé plus concis.,Le title contient environ 91 caractères et peut être trop long.
https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,POOR,technical_seo,MEDIUM,meta_description_length,62.0,>= 70,Enrichir la meta description,Développer la meta description pour mieux présenter le contenu et la proposition de valeur.,La meta description contient environ 62 caractères.
https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,POOR,technical_seo,MEDIUM,canonical_exists,False,True,Déclarer une URL canonique,Ajouter une balise canonical cohérente lorsque la page peut être accessible via plusieurs URLs.,Aucune URL canonique n'a été détectée.
https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,POOR,content,LOW,h1_count,2.0,= 1,Rationaliser les H1,Vérifier la hiérarchie éditoriale et conserver un H1 principal clairement identifiable.,2 balises H1 ont été détectées.
https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,POOR,images,MEDIUM,alt_coverage_ratio,0.6,>= 0.70,Améliorer les attributs ALT,Ajouter des attributs ALT descriptifs aux images pertinentes et éviter les ALT vides lorsqu'ils ne sont pas justifiés.,La couverture ALT est d'environ 60.0%.
https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,POOR,internal_linking,MEDIUM,internal_link_ratio,0.594,>= 0.70,Renforcer le maillage interne,Ajouter des liens internes contextuels entre les pages importantes et les contenus complémentaires.,Le ratio de liens internes est d'environ 59.4%.
https://toulemondencuisine.wordpress.com/,toulemondencuisine.wordpress.com,POOR,conversion,LOW,"phone_count,email_count","{'phone_count': 0.0, 'email_count': 0.0}",phone >= 1 OR email >= 1,Faciliter le contact,Rendre au moins un moyen de contact identifiable sur les pages où cela est pertinent.,Aucun numéro de téléphone ni adresse email détectable n'a été trouvé.
https://jeanleptitplombier.com/,jeanleptitplombier.com,AVERAGE,content,MEDIUM,word_count,314.0,>= 500,Enrichir le contenu,"Enrichir les pages stratégiques avec du contenu utile, spécifique à l'intention de recherche et non redondant.","La page contient environ 314 mots. Le volume seul ne détermine pas la qualité SEO, mais un contenu très court peut limiter la capacité à couvrir le sujet."
